spkid,full_name,pdes,orbit_id,pha,min_orbit_intersection_dist,epoch,eccentricity,semi_major_axis,perihelion_dist,inclination,mean_anomaly,time_of_perihelion_passage,abs_magnitude
20000433,433_Eros_A898_PA,433,JPL 659,0,57.7,2461000.5,0.2228,1.458,1.133,10.83,310.55,2461088.83,10.38
20000719,719_Albert_A911_TB,719,JPL 275,0,78.3,2461000.5,0.5466,2.637,1.195,11.57,240.61,2461519.09,15.59
20000887,887_Alinda_A918_AA,887,JPL 730,0,31.0,2461000.5,0.5712,2.474,1.061,9.4,81.54,2460678.64,13.81
20001036,1036_Ganymed_A924_UB,1036,JPL 1467,0,134.0,2461000.5,0.5332,2.665,1.244,26.68,97.59,2460569.72,9.18
20001221,1221_Amor_1932_EA1,1221,JPL 143,0,42.0,2461000.5,0.4346,1.92,1.085,11.87,59.87,2460838.91,17.37
20001566,1566_Icarus_1949_MA,1566,JPL 194,1,13.0,2461000.5,0.827,1.078,0.186,22.8,153.08,2460826.65,16.53
20001580,1580_Betulia_1950_KA,1580,JPL 402,0,51.6,2461000.5,0.4876,2.195,1.125,52.19,80.27,2460735.66,14.55
20001620,1620_Geographos_1951_RA,1620,JPL 848,1,11.4,2461000.5,0.3355,1.246,0.828,13.34,212.92,2461208.0,15.26
20001627,1627_Ivar_1929_SH,1627,JPL 1501,0,42.5,2461000.5,0.3973,1.863,1.123,8.46,311.46,2461125.74,12.79
20001685,1685_Toro_1948_OA,1685,JPL 838,0,19.9,2461000.5,0.436,1.368,0.771,9.38,82.68,2460866.3,14.28
20001862,1862_Apollo_1932_HA,1862,JPL 567,1,10.1,2461000.5,0.5599,1.471,0.647,6.35,113.88,2460794.37,16.08
20001863,1863_Antinous_1948_EA,1863,JPL 272,0,72.9,2461000.5,0.6063,2.26,0.89,18.38,289.56,2461243.32,15.46
20001864,1864_Daedalus_1971_FA,1864,JPL 843,0,105.0,2461000.5,0.6144,1.461,0.563,22.22,257.57,2461183.99,14.84
20001865,1865_Cerberus_1971_UA,1865,JPL 391,0,60.9,2461000.5,0.4669,1.08,0.576,16.1,319.67,2461046.42,16.78
20001866,1866_Sisyphus_1972_XA,1866,JPL 1161,0,40.3,2461000.5,0.5381,1.893,0.875,41.21,140.66,2460628.68,12.48
20001915,1915_Quetzalcoatl_1953_EA,1915,JPL 13,0,42.4,2461000.5,0.5702,2.545,1.094,20.4,21.62,2460911.46,18.38
20001916,1916_Boreas_1953_RA,1916,JPL 528,0,98.2,2461000.5,0.4492,2.273,1.252,12.88,35.11,2460878.45,14.93
20001917,1917_Cuyo_1968_AA,1917,JPL 645,0,27.9,2461000.5,0.5055,2.149,1.063,23.96,160.09,2460488.78,14.38
20001943,1943_Anteros_1973_EC,1943,JPL 848,0,23.7,2461000.5,0.2559,1.431,1.064,8.71,260.37,2461173.45,15.7
20001980,1980_Tezcatlipoca_1950_LA,1980,JPL 929,0,95.4,2461000.5,0.3647,1.709,1.086,26.87,211.5,2461337.24,13.81
20001981,1981_Midas_1973_EA,1981,JPL 401,1,1.08,2461000.5,0.6505,1.776,0.621,39.82,65.35,2460843.54,15.27
20002059,2059_Baboquivari_1963_UA,2059,JPL 280,0,95.4,2461000.5,0.5316,2.642,1.237,11.02,143.16,2460376.79,15.98
20002061,2061_Anza_1960_UA,2061,JPL 226,0,21.7,2461000.5,0.5356,2.265,1.052,3.8,38.89,2460865.98,16.7
20002062,2062_Aten_1976_AA,2062,JPL 149,0,44.0,2461000.5,0.1829,0.967,0.79,18.94,32.64,2460969.01,17.11
20002063,2063_Bacchus_1977_HB,2063,JPL 258,0,26.0,2461000.5,0.3494,1.078,0.701,9.43,234.79,2461142.69,17.21
20002100,2100_Ra-Shalom_1978_RA,2100,JPL 493,0,58.3,2461000.5,0.4365,0.832,0.469,15.76,249.11,2461085.89,16.24
20002101,2101_Adonis_1936_CA,2101,JPL 52,1,4.48,2461000.5,0.7641,1.874,0.442,1.32,24.48,2460936.78,18.69
20002102,2102_Tantalus_1975_YA,2102,JPL 274,1,16.6,2461000.5,0.2994,1.29,0.904,64.01,347.36,2461019.3,16.0
20002135,2135_Aristaeus_1977_HA,2135,JPL 24,1,3.32,2461000.5,0.5031,1.6,0.795,23.07,37.18,2460924.18,18.05
20002201,2201_Oljato_1947_XC,2201,JPL 354,1,1.08,2461000.5,0.7107,2.179,0.63,2.52,97.01,2460683.98,15.32
20002202,2202_Pele_1972_RA,2202,JPL 253,0,55.7,2461000.5,0.5129,2.291,1.116,8.74,109.59,2460615.04,16.98
20002212,2212_Hephaistos_1978_SB,2212,JPL 785,0,43.6,2461000.5,0.8347,2.168,0.358,11.2,308.24,2461168.08,13.49
20002329,2329_Orthos_1976_WA,2329,JPL 381,0,36.4,2461000.5,0.6533,2.411,0.836,24.46,71.29,2460729.66,14.58
20002340,2340_Hathor_1976_UA,2340,JPL 62,1,2.58,2461000.5,0.4499,0.8439,0.464,5.86,201.98,2461124.78,20.43
20002368,2368_Beltrovata_1977_RA,2368,JPL 418,0,90.1,2461000.5,0.4134,2.105,1.235,5.22,287.81,2461224.17,15.15
20002608,2608_Seneca_1978_DA,2608,JPL 24,0,59.6,2461000.5,0.5647,2.53,1.102,14.43,10.72,2460956.72,17.48
20003102,3102_Krok_1981_QA,3102,JPL 460,0,71.3,2461000.5,0.4492,2.151,1.185,8.44,6.75,2460978.89,16.16
20003103,3103_Eger_1982_BB,3103,JPL 848,0,30.6,2461000.5,0.3542,1.404,0.907,20.93,181.12,2461302.41,15.3
